stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id
"54868","54868",Couture / Pascal-Gagnon,http://m.stm.info/fr/horaires/arrets/54868/bus,"2","39,188","0",20M
"54869","54869",Couture / Pascal-Gagnon,http://m.stm.info/fr/horaires/arrets/54869/bus,"1","39,188","0",20M
"54870","54870",Lacordaire / Robert,http://m.stm.info/fr/horaires/arrets/54870/bus,"1","32,353,432","0",20M
"54871","54871",Robert / Lacordaire,http://m.stm.info/fr/horaires/arrets/54871/bus,"1","192","0",20M
"54872","54872",Lacordaire / Robert,http://m.stm.info/fr/horaires/arrets/54872/bus,"1","32,353,432","0",20M
"54873","54873",Robert / Lacordaire,http://m.stm.info/fr/horaires/arrets/54873/bus,"1","192","0",20M
"54874","54874",Jarry / Chamilly,http://m.stm.info/fr/horaires/arrets/54874/bus,"1","193","0",20M
"54875","54875",Jarry / Chamilly,http://m.stm.info/fr/horaires/arrets/54875/bus,"1","193","0",20M
"54876","54876",Pascal-Gagnon / Lavaltrie,http://m.stm.info/fr/horaires/arrets/54876/bus,"1","188","0",20M
"54877","54877",Pascal-Gagnon / Lavaltrie,http://m.stm.info/fr/horaires/arrets/54877/bus,"1","188","0",20M
"54878","54878",Lacordaire / des Galets,http://m.stm.info/fr/horaires/arrets/54878/bus,"1","32,353","0",20M
"54879","54879",Lacordaire / des Galets,http://m.stm.info/fr/horaires/arrets/54879/bus,"1","32,353","0",20M
"54880","54880",Langelier / Lacoursière,http://m.stm.info/fr/horaires/arrets/54880/bus,"1","33,188","0",20M
"54881","54881",Langelier / Lacoursière,http://m.stm.info/fr/horaires/arrets/54881/bus,"1","33,188","0",20M
"54882","54882",Robert / Aimé-Renaud,http://m.stm.info/fr/horaires/arrets/54882/bus,"1","192","0",20M
"54883","54883",Robert / Aimé-Renaud,http://m.stm.info/fr/horaires/arrets/54883/bus,"1","192","0",20M
"54884","54884",Jarry / Jean-Nicolet,http://m.stm.info/fr/horaires/arrets/54884/bus,"1","193","0",20M
"54885","54885",Jarry / Jean-Nicolet,http://m.stm.info/fr/horaires/arrets/54885/bus,"1","193","0",20M
"54886","54886",Langelier / Bombardier,http://m.stm.info/fr/horaires/arrets/54886/bus,"1","33,192","0",20M
"54887","54887",Bombardier / Langelier,http://m.stm.info/fr/horaires/arrets/54887/bus,"1","188,192","0",20M
"54888","54888",Langelier / Bombardier,http://m.stm.info/fr/horaires/arrets/54888/bus,"1","33","0",20M
"54889","54889",Bombardier / Langelier,http://m.stm.info/fr/horaires/arrets/54889/bus,"1","188","0",20M
"54890","54890",Robert / des Sables,http://m.stm.info/fr/horaires/arrets/54890/bus,"1","192","0",20M
"54891","54891",Robert / Carrel,http://m.stm.info/fr/horaires/arrets/54891/bus,"1","192","0",20M
"54892","54892",Jarry / du Cap,http://m.stm.info/fr/horaires/arrets/54892/bus,"1","193","0",20M
"54893","54893",Jarry / Fleuricourt,http://m.stm.info/fr/horaires/arrets/54893/bus,"1","193","0",20M
"54894","54894",Robert / Albanel,http://m.stm.info/fr/horaires/arrets/54894/bus,"1","192","0",20M
"54895","54895",Robert / Albanel,http://m.stm.info/fr/horaires/arrets/54895/bus,"1","192","0",20M
"54896","54896",Langelier / Belherbe,http://m.stm.info/fr/horaires/arrets/54896/bus,"1","33,192","0",20M
"54897","54897",Langelier / Belherbe,http://m.stm.info/fr/horaires/arrets/54897/bus,"1","33,192","0",20M
"54899","54899",Bombardier / No 6630,http://m.stm.info/fr/horaires/arrets/54899/bus,"1","188,192","0",20M
"54900","54900",Bombardier / No 6630,http://m.stm.info/fr/horaires/arrets/54900/bus,"1","188,192","0",20M
"54902","54902",Jarry / Lacordaire,http://m.stm.info/fr/horaires/arrets/54902/bus,"1","193","0",20M
"54903","54903",Lacordaire / Jarry,http://m.stm.info/fr/horaires/arrets/54903/bus,"1","32,353,432","0",20M
"54904","54904",Jarry / Lacordaire,http://m.stm.info/fr/horaires/arrets/54904/bus,"1","193","0",20M
"54905","54905",Lacordaire / Jarry,http://m.stm.info/fr/horaires/arrets/54905/bus,"1","32,353,432","0",20M
"54906","54906",Bombardier / Pascal-Gagnon,http://m.stm.info/fr/horaires/arrets/54906/bus,"1","192","0",20M
"54907","54907",Pascal-Gagnon / Bombardier,http://m.stm.info/fr/horaires/arrets/54907/bus,"1","188","0",20M
"54908","54908",Bombardier / Pascal-Gagnon,http://m.stm.info/fr/horaires/arrets/54908/bus,"1","192","0",20M
"54909","54909",Pascal-Gagnon / No 8775,http://m.stm.info/fr/horaires/arrets/54909/bus,"1","188","0",20M
"54910","54910",Langelier / P.-E.-Lamarche,http://m.stm.info/fr/horaires/arrets/54910/bus,"1","33,192","0",20M
"54911","54911",Langelier / P.-E.-Lamarche,http://m.stm.info/fr/horaires/arrets/54911/bus,"1","33,192","0",20M
"54912","54912",Robert / Bonnivet,http://m.stm.info/fr/horaires/arrets/54912/bus,"1","192","0",20M
"54913","54913",Bombardier / du Champ-d'Eau,http://m.stm.info/fr/horaires/arrets/54913/bus,"1","192","0",20M
"54914","54914",Bombardier / du Champ-d'Eau,http://m.stm.info/fr/horaires/arrets/54914/bus,"1","192","0",20M
"54915","54915",Robert / de Guyenne,http://m.stm.info/fr/horaires/arrets/54915/bus,"1","192","0",20M
"54916","54916",Jarry / Aimé-Renaud,http://m.stm.info/fr/horaires/arrets/54916/bus,"1","193","0",20M
"54917","54917",Jarry / Aimé-Renaud,http://m.stm.info/fr/horaires/arrets/54917/bus,"1","193","0",20M
"54918","54918",Viau / Viterbe,http://m.stm.info/fr/horaires/arrets/54918/bus,"1","136,188","0",20M
"54919","54919",Viau / Viterbe,http://m.stm.info/fr/horaires/arrets/54919/bus,"1","136,188","0",20M
"54920","54920",Lacordaire / Métropolitain,http://m.stm.info/fr/horaires/arrets/54920/bus,"1","32,353,432","0",20M
"54921","54921",Métropolitain / Lacordaire,http://m.stm.info/fr/horaires/arrets/54921/bus,"1","460","0",20M
"54922","54922",Langelier / Robert,http://m.stm.info/fr/horaires/arrets/54922/bus,"1","33","0",20M
"54923","54923",Langelier / Robert,http://m.stm.info/fr/horaires/arrets/54923/bus,"1","33,192","0",20M
"54924","54924",Langelier / de Louvois,http://m.stm.info/fr/horaires/arrets/54924/bus,"1","192","0",20M
"54925","54925",Jean-Talon / Daudet,http://m.stm.info/fr/horaires/arrets/54925/bus,"1","141,188,372","0",20M
"54926","54926",Jean-Talon / Daudet,http://m.stm.info/fr/horaires/arrets/54926/bus,"1","141,188,372","0",20M
"54927","54927",Jarry / Comtois,http://m.stm.info/fr/horaires/arrets/54927/bus,"1","193","0",20M
"54928","54928",Jarry / Comtois,http://m.stm.info/fr/horaires/arrets/54928/bus,"1","193","0",20M
"54929","54929",Jean-Talon / Provencher,http://m.stm.info/fr/horaires/arrets/54929/bus,"1","141,188,372","0",20M
"54930","54930",Jean-Talon / Provencher,http://m.stm.info/fr/horaires/arrets/54930/bus,"1","141,188,372","0",20M
"54931","54931",Viau / Burel,http://m.stm.info/fr/horaires/arrets/54931/bus,"1","136,188","0",20M
"54932","54932",Viau / Millet,http://m.stm.info/fr/horaires/arrets/54932/bus,"1","136,188","0",20M
"54933","54933",Jarry / Louis-Vanier,http://m.stm.info/fr/horaires/arrets/54933/bus,"1","193","0",20M
"54934","54934",Jarry / Louis-Vanier,http://m.stm.info/fr/horaires/arrets/54934/bus,"1","193","0",20M
